No,RCH,XRP,Brand,Claim,Spend,Split,Add_id,Gfk id,Occ_id,Channel,Company,Country,Product,Category,Duration,EPG name,Industry,Language,Airing day,Ad block id,Airing date,Airing time,Subcategory,ADScanner ID,Ads in block,EPG category,Occurance id,First or last,Airing daypart,Ad block duration,Position in block,Placement in block,Total ads in block,Position in block  ,Ad block net duration,Before / Within content
301,0.3231,0.3231,eBay ,Things.People.Love.,1620,N/A,23179144,01261757,293682910,N-TV,eBay International,Germany,eBay ,Online Retailers,15,News Spezial,RETAILERS,,Monday   ,97685324,2025-12-01,17:28:02,Online Retailers,23179144_102515eBay InternationaleBay ,7,Newscast,293682910,None,17 - 20,04:32,Before,M,16,7,02:20,Before
312,0.3216,0.3216,eBay ,Things.People.Love.,1530,N/A,23179144,01251759,293682900,N-TV,eBay International,Germany,eBay ,Online Retailers,15,Nachrichten,RETAILERS,,Monday   ,97685325,2025-12-01,17:57:40,Online Retailers,23179144_102515eBay InternationaleBay ,13,Newscast,293682900,None,17 - 20,04:37,Before,X,15,13,01:50,Before
324,0.2544,0.2544,eBay ,Things.People.Love.,1785,Post-split,23179157,63201967,293689797,N-TV,eBay International,Germany,eBay ,Online Retailers,20,Krieg der Drohnen - Tod auf Knopfdruck,RETAILERS,,Monday   ,97685330,2025-12-01,19:32:22,Online Retailers,23179157_102520eBay InternationaleBay ,13,Documentary,293689797,Last,17 - 20,04:50,Before,Z,13,13,00:40,Before
327,0.2284,0.2284,eBay ,Things.People.Love.,1449,N/A,23179157,01211969,293689809,N-TV,eBay International,Germany,eBay ,Online Retailers,20,Klima Update,RETAILERS,,Monday   ,97685331,2025-12-01,19:56:45,Online Retailers,23179157_102520eBay InternationaleBay ,9,Newscast,293689809,None,17 - 20,03:07,Before,X,11,9,00:50,Before
335,0.167,0.167,eBay ,Things.People.Love.,2436,N/A,23192969,01312283,293700822,N-TV,eBay International,Germany,eBay ,Online Retailers,20,Undenkbare Momente,RETAILERS,,Monday   ,97685337,2025-12-01,22:45:26,Online Retailers,23192969_122520eBay InternationaleBay ,2,Documentary,293700822,None,20 - 23,04:01,Within,B,13,2,00:30,Within
339,0.1489,0.1489,eBay ,Things.People.Love.,1449,N/A,23179157,01212387,293702675,N-TV,eBay International,Germany,eBay ,Online Retailers,20,Pinar Atalay,RETAILERS,,Monday   ,97685338,2025-12-01,23:29:00,Online Retailers,23179157_102520eBay InternationaleBay ,7,Talkshow,293702675,None,23 - 00,04:33,Before,M,15,7,01:12,Before
343,0.1178,0.1178,eBay ,Things.People.Love.,540,N/A,23179026,01110603,293713689,N-TV,eBay International,Germany,eBay ,Online Retailers,15,Nachrichten,RETAILERS,,Tuesday  ,97690593,2025-12-02,06:39:59,Online Retailers,23179026_102515eBay InternationaleBay ,11,Newscast,293713689,None,06 - 09,04:13,Before,X,13,11,00:45,Before
346,0.1879,0.1879,eBay ,Things.People.Love.,756,N/A,23179144,01140709,293717077,N-TV,eBay International,Germany,eBay ,Online Retailers,15,Telebörse,RETAILERS,,Tuesday  ,97690600,2025-12-02,07:54:54,Online Retailers,23179144_102515eBay InternationaleBay ,4,Newscast,293717077,None,06 - 09,04:42,Within,M,14,4,00:15,Within
355,0.2978,0.2978,eBay ,Things.People.Love.,1170,N/A,23179144,01200919,293723902,N-TV,eBay International,Germany,eBay ,Online Retailers,15,Telebörse,RETAILERS,,Tuesday  ,97690610,2025-12-02,09:57:40,Online Retailers,23179144_102515eBay InternationaleBay ,12,Newscast,293723902,None,09 - 11,03:51,Within,X,14,12,00:40,Within
357,0.326,0.326,eBay ,Things.People.Love.,1449,N/A,23179157,01211024,293727148,N-TV,eBay International,Germany,eBay ,Online Retailers,20,Nachrichten,RETAILERS,,Tuesday  ,97690615,2025-12-02,10:55:18,Online Retailers,23179157_102520eBay InternationaleBay ,1,Newscast,293727148,First,09 - 11,02:51,Before,A,8,1,00:30,Before
372,0.2595,0.2595,eBay ,Things.People.Love.,1170,N/A,23193081,01201546,293743171,N-TV,eBay International,Germany,eBay ,Online Retailers,15,Telebörse,RETAILERS,,Tuesday  ,97690628,2025-12-02,15:28:45,Online Retailers,23193081_122515eBay InternationaleBay ,8,Newscast,293743171,None,13 - 17,03:51,Before,Y,9,8,00:25,Before
374,0.3672,0.3672,eBay ,Things.People.Love.,1368,N/A,23179144,01231654,293745540,N-TV,eBay International,Germany,eBay ,Online Retailers,15,Nachrichten,RETAILERS,,Tuesday  ,97690632,2025-12-02,16:58:06,Online Retailers,23179144_102515eBay InternationaleBay ,4,Newscast,293745540,None,13 - 17,04:29,Before,M,12,4,00:15,Before
379,0.3375,0.3375,eBay ,Things.People.Love.,1530,N/A,23179144,01251759,293750238,N-TV,eBay International,Germany,eBay ,Online Retailers,15,Nachrichten,RETAILERS,,Tuesday  ,97690634,2025-12-02,17:55:42,Online Retailers,23179144_102515eBay InternationaleBay ,10,Newscast,293750238,None,17 - 20,04:42,Before,X,12,10,01:20,Before
386,0.1771,0.1771,eBay ,Things.People.Love.,1596,N/A,23179110,01231969,293757222,N-TV,eBay International,Germany,eBay ,Online Retailers,20,Nachrichten,RETAILERS,,Tuesday  ,97690639,2025-12-02,19:56:10,Online Retailers,23179110_102520eBay InternationaleBay ,3,Newscast,293757222,None,17 - 20,03:41,Before,C,9,3,00:20,Before
392,0.2624,0.2624,eBay ,Things.People.Love.,2835,Pre-split,23179157,64262283,293768711,N-TV,eBay International,Germany,eBay ,Online Retailers,20,Augenzeuge Kamera - Auf frischer Tat ertappt,RETAILERS,,Tuesday  ,97690645,2025-12-02,22:42:34,Online Retailers,23179157_102520eBay InternationaleBay ,1,TV series,293768711,First,20 - 23,04:14,Within,A,13,1,01:50,Within
407,0.1352,0.1352,eBay ,Things.People.Love.,540,N/A,23179026,01110603,293782224,N-TV,eBay International,Germany,eBay ,Online Retailers,15,Nachrichten,RETAILERS,,Wednesday,97696204,2025-12-03,06:39:37,Online Retailers,23179026_102515eBay InternationaleBay ,8,Newscast,293782224,None,06 - 09,04:47,Before,M,15,8,01:00,Before
412,0.224,0.224,eBay ,Things.People.Love.,828,N/A,23179144,01150812,293787837,N-TV,eBay International,Germany,eBay ,Online Retailers,15,Nachrichten,RETAILERS,,Wednesday,97696211,2025-12-03,08:28:42,Online Retailers,23179144_102515eBay InternationaleBay ,8,Newscast,293787837,None,06 - 09,05:41,Before,M,16,8,00:15,Before
414,0.2783,0.2783,eBay ,Things.People.Love.,966,N/A,23179157,01150814,293787846,N-TV,eBay International,Germany,eBay ,Online Retailers,20,Nachrichten,RETAILERS,,Wednesday,97696213,2025-12-03,08:55:40,Online Retailers,23179157_102520eBay InternationaleBay ,4,Newscast,293787846,None,06 - 09,05:24,Before,M,14,4,00:47,Before
417,0.3137,0.3137,eBay ,Things.People.Love.,1365,N/A,23192969,01200919,293790829,N-TV,eBay International,Germany,eBay ,Online Retailers,20,Nachrichten,RETAILERS,,Wednesday,97696218,2025-12-03,09:56:51,Online Retailers,23192969_122520eBay InternationaleBay ,12,Newscast,293790829,None,09 - 11,04:21,Before,X,14,12,00:30,Before
420,0.3397,0.3397,eBay ,Things.People.Love.,1449,N/A,23179157,01211024,293793600,N-TV,eBay International,Germany,eBay ,Online Retailers,20,Nachrichten,RETAILERS,,Wednesday,97696223,2025-12-03,10:57:19,Online Retailers,23179157_102520eBay InternationaleBay ,11,Newscast,293793600,None,09 - 11,04:32,Before,Y,12,11,01:05,Before
425,0.3498,0.3498,eBay ,Things.People.Love.,1170,N/A,23179144,01201126,293796858,N-TV,eBay International,Germany,eBay ,Online Retailers,15,Nachrichten,RETAILERS,,Wednesday,97696225,2025-12-03,11:29:08,Online Retailers,23179144_102515eBay InternationaleBay ,12,Newscast,293796858,None,11 - 13,04:50,Before,Y,13,12,01:30,Before
429,0.3455,0.3455,eBay ,Things.People.Love.,1098,N/A,23193081,01191232,293800016,N-TV,eBay International,Germany,eBay ,Online Retailers,15,News Spezial,RETAILERS,,Wednesday,97696229,2025-12-03,12:26:42,Online Retailers,23193081_122515eBay InternationaleBay ,2,Newscast,293800016,None,11 - 13,03:57,Before,B,12,2,00:15,Before
430,0.3679,0.3679,eBay ,Things.People.Love.,1098,N/A,23179144,01191234,293799837,N-TV,eBay International,Germany,eBay ,Online Retailers,15,Nachrichten,RETAILERS,,Wednesday,97696230,2025-12-03,12:55:27,Online Retailers,23179144_102515eBay InternationaleBay ,1,Newscast,293799837,First,11 - 13,03:21,Before,A,9,1,00:25,Before
432,0.3057,0.3057,eBay ,Things.People.Love.,1170,N/A,23179144,01201337,293803223,N-TV,eBay International,Germany,eBay ,Online Retailers,15,News Spezial,RETAILERS,,Wednesday,97696232,2025-12-03,13:28:01,Online Retailers,23179144_102515eBay InternationaleBay ,4,Newscast,293803223,None,13 - 17,04:01,Before,M,10,4,00:15,Before
435,0.2855,0.2855,eBay ,Things.People.Love.,1113,N/A,23179157,01171444,293805965,N-TV,eBay International,Germany,eBay ,Online Retailers,20,Nachrichten,RETAILERS,,Wednesday,97696235,2025-12-03,14:55:05,Online Retailers,23179157_102520eBay InternationaleBay ,2,Newscast,293805965,None,13 - 17,03:52,Before,B,11,2,00:20,Before
436,0.3064,0.3064,eBay ,Things.People.Love.,1170,N/A,23179026,01201546,293807797,N-TV,eBay International,Germany,eBay ,Online Retailers,15,LIVE,RETAILERS,,Wednesday,97696236,2025-12-03,15:25:12,Online Retailers,23179026_102515eBay InternationaleBay ,3,Newscast,293807797,None,13 - 17,03:26,Before,C,10,3,01:03,Before
441,0.2725,0.2725,eBay ,Things.People.Love.,1242,N/A,23179144,01211549,293807813,N-TV,eBay International,Germany,eBay ,Online Retailers,15,Nachrichten,RETAILERS,,Wednesday,97696237,2025-12-03,15:57:27,Online Retailers,23179144_102515eBay InternationaleBay ,9,Newscast,293807813,None,13 - 17,03:16,Before,Y,10,9,00:25,Before
442,0.2681,0.2681,eBay ,Things.People.Love.,1449,N/A,23179110,01211652,293811249,N-TV,eBay International,Germany,eBay ,Online Retailers,20,News Spezial,RETAILERS,,Wednesday,97696239,2025-12-03,16:30:27,Online Retailers,23179110_102520eBay InternationaleBay ,11,Newscast,293811249,None,13 - 17,04:14,Before,Y,12,11,00:20,Before
445,0.3404,0.3404,eBay ,Things.People.Love.,1530,N/A,23179144,01251757,293815552,N-TV,eBay International,Germany,eBay ,Online Retailers,15,News Spezial,RETAILERS,,Wednesday,97696241,2025-12-03,17:31:25,Online Retailers,23179144_102515eBay InternationaleBay ,12,Newscast,293815552,None,17 - 20,04:36,Before,M,15,12,00:50,Before
447,0.3874,0.3874,eBay ,Things.People.Love.,1785,N/A,23179157,01251759,293815566,N-TV,eBay International,Germany,eBay ,Online Retailers,20,Nachrichten,RETAILERS,,Wednesday,97696242,2025-12-03,17:54:48,Online Retailers,23179157_102520eBay InternationaleBay ,2,Newscast,293815566,None,17 - 20,03:57,Before,B,11,2,00:50,Before
452,0.2363,0.2363,eBay ,Things.People.Love.,1512,N/A,23179157,01221967,293817681,N-TV,eBay International,Germany,eBay ,Online Retailers,20,Nachrichten,RETAILERS,,Wednesday,97696247,2025-12-03,19:54:14,Online Retailers,23179157_102520eBay InternationaleBay ,2,Newscast,293817681,None,17 - 20,03:36,Before,B,13,2,00:20,Before
129,0.2544,0.2544,eBay ,Things.People.Love.,1050,Post-split,23179157,63161001,293659684,RTLUP,eBay International,Germany,eBay ,Online Retailers,20,Der Blaulicht Report,RETAILERS,,Monday   ,97684519,2025-12-01,10:58:03,Online Retailers,23179157_102520eBay InternationaleBay ,16,TV series,293659684,Last,09 - 11,06:14,Within,Z,16,16,00:50,Within
160,0.219,0.219,eBay ,Things.People.Love.,2700,Pre-split,23179144,64312334,293712221,RTLUP,eBay International,Germany,eBay ,Online Retailers,15,Hinter Gittern - Der Frauenknast,RETAILERS,,Monday   ,97684537,2025-12-01,23:34:04,Online Retailers,23179144_102515eBay InternationaleBay ,1,TV series,293712221,First,23 - 00,05:40,Within,A,15,1,00:25,Within
163,0.2681,0.2681,eBay ,Things.People.Love.,1050,Post-split,23179157,63161001,293735878,RTLUP,eBay International,Germany,eBay ,Online Retailers,20,Der Blaulicht Report,RETAILERS,,Tuesday  ,97691092,2025-12-02,10:59:18,Online Retailers,23179157_102520eBay InternationaleBay ,16,TV series,293735878,Last,09 - 11,06:29,Within,Z,16,16,00:40,Within
178,0.2891,0.2891,eBay ,Things.People.Love.,972,Pre-split,23179144,64161001,293792649,RTLUP,eBay International,Germany,eBay ,Online Retailers,15,Der Blaulicht Report,RETAILERS,,Wednesday,97696628,2025-12-03,10:48:41,Online Retailers,23179144_102515eBay InternationaleBay ,1,TV series,293792649,First,09 - 11,05:14,Within,A,15,1,00:25,Within
661,0.0593,0.0593,eBay ,Things.People.Love.,0,N/A,23192969,31250909,293667880,VOXUP,eBay International,Germany,eBay ,Online Retailers,20,Verklag mich doch!,RETAILERS,,Monday   ,97685186,2025-12-01,09:17:14,Online Retailers,23192969_122520eBay InternationaleBay ,14,Lifestyle,293667880,None,09 - 11,06:11,Within,M,23,14,02:12,Within
664,0.0643,0.0643,eBay ,Things.People.Love.,0,N/A,23179144,31250900,293657803,VOXUP,eBay International,Germany,eBay ,Online Retailers,15,Verklag mich doch!,RETAILERS,,Monday   ,97685187,2025-12-01,09:51:49,Online Retailers,23179144_102515eBay InternationaleBay ,1,Lifestyle,293657803,First,09 - 11,06:16,Within,A,22,1,02:13,Within
755,0.094,0.094,eBay ,Things.People.Love.,0,Pre-split,23179144,31671907,293689444,VOXUP,eBay International,Germany,eBay ,Online Retailers,15,Law & Order,RETAILERS,,Monday   ,97685207,2025-12-01,19:44:52,Online Retailers,23179144_102515eBay InternationaleBay ,1,TV series,293689444,First,17 - 20,10:38,Within,A,29,1,02:17,Within
769,0.1135,0.1135,eBay ,Things.People.Love.,0,N/A,23179157,31842035,293692496,VOXUP,eBay International,Germany,eBay ,Online Retailers,20,Rizzoli & Isles,RETAILERS,,Monday   ,97685210,2025-12-01,20:58:38,Online Retailers,23179157_102520eBay InternationaleBay ,11,TV series,293692496,None,20 - 23,10:12,Within,M,25,11,02:35,Within
775,0.0997,0.0997,eBay ,Things.People.Love.,0,N/A,23179026,31842136,293697157,VOXUP,eBay International,Germany,eBay ,Online Retailers,15,Rizzoli & Isles,RETAILERS,,Monday   ,97685211,2025-12-01,21:28:14,Online Retailers,23179026_102515eBay InternationaleBay ,10,TV series,293697157,None,20 - 23,08:12,Within,M,21,10,02:07,Within
810,0.047,0.047,eBay ,Things.People.Love.,0,Pre-split,23179157,31360033,293720987,VOXUP,eBay International,Germany,eBay ,Online Retailers,20,Bones - Die Knochenjägerin,RETAILERS,,Tuesday  ,97689488,2025-12-02,00:33:43,Online Retailers,23179157_102520eBay InternationaleBay ,1,TV series,293720987,First,00 - 03,10:57,Within,A,28,1,01:57,Within
840,0.0679,0.0679,eBay ,Things.People.Love.,0,N/A,23179110,31250900,293724053,VOXUP,eBay International,Germany,eBay ,Online Retailers,20,Verklag mich doch!,RETAILERS,,Tuesday  ,97689497,2025-12-02,09:47:42,Online Retailers,23179110_102520eBay InternationaleBay ,13,Lifestyle,293724053,None,09 - 11,06:22,Within,M,20,13,01:35,Within
847,0.0672,0.0672,eBay ,Things.People.Love.,0,N/A,23179144,31261006,293727545,VOXUP,eBay International,Germany,eBay ,Online Retailers,15,Verklag mich doch!,RETAILERS,,Tuesday  ,97689499,2025-12-02,10:48:32,Online Retailers,23179144_102515eBay InternationaleBay ,18,Lifestyle,293727545,Last,09 - 11,06:24,Within,Z,18,18,01:25,Within
865,0.0773,0.0773,eBay ,Things.People.Love.,0,N/A,23179144,31281302,293737734,VOXUP,eBay International,Germany,eBay ,Online Retailers,15,Verklag mich doch!,RETAILERS,,Tuesday  ,97689505,2025-12-02,13:51:40,Online Retailers,23179144_102515eBay InternationaleBay ,17,Lifestyle,293737734,None,13 - 17,06:34,Within,M,20,17,01:30,Within
933,0.0911,0.0911,eBay ,Things.People.Love.,0,Pre-split,23193081,31412347,293782624,VOXUP,eBay International,Germany,eBay ,Online Retailers,15,Bones - Die Knochenjägerin,RETAILERS,,Tuesday  ,97689526,2025-12-02,23:30:23,Online Retailers,23193081_122515eBay InternationaleBay ,1,TV series,293782624,First,23 - 00,07:51,Within,A,20,1,00:32,Within
940,0.047,0.047,eBay ,Things.People.Love.,0,N/A,23179157,N/A,293773670,VOXUP,eBay International,Germany,eBay ,Online Retailers,20,Bones - Die Knochenjägerin,RETAILERS,,Wednesday,97696256,2025-12-03,00:54:19,Online Retailers,23179157_102520eBay InternationaleBay ,20,TV series,293773670,None,00 - 03,10:19,Within,M,25,20,00:58,Within
975,0.0781,0.0781,eBay ,Things.People.Love.,0,N/A,23179144,N/A,293796730,VOXUP,eBay International,Germany,eBay ,Online Retailers,15,Verklag mich doch!,RETAILERS,,Wednesday,97696268,2025-12-03,11:10:27,Online Retailers,23179144_102515eBay InternationaleBay ,9,Lifestyle,293796730,None,11 - 13,05:57,Within,M,16,9,01:57,Within
985,0.0781,0.0781,eBay ,Things.People.Love.,0,N/A,23179157,N/A,293799720,VOXUP,eBay International,Germany,eBay ,Online Retailers,20,Verklag mich doch!,RETAILERS,,Wednesday,97696270,2025-12-03,12:07:56,Online Retailers,23179157_102520eBay InternationaleBay ,10,Lifestyle,293799720,None,11 - 13,07:25,Within,M,21,10,02:33,Within
1000,0.0716,0.0716,eBay ,Things.People.Love.,0,N/A,23192969,N/A,293806041,VOXUP,eBay International,Germany,eBay ,Online Retailers,20,Verklag mich doch!,RETAILERS,,Wednesday,97696274,2025-12-03,14:22:10,Online Retailers,23192969_122520eBay InternationaleBay ,6,Lifestyle,293806041,None,13 - 17,06:35,Within,M,17,6,00:50,Within
1008,0.0607,0.0607,eBay ,Things.People.Love.,0,Pre-split,23179157,N/A,293842393,VOXUP,eBay International,Germany,eBay ,Online Retailers,20,CSI: Den Tätern auf der Spur,RETAILERS,,Wednesday,97696277,2025-12-03,15:35:06,Online Retailers,23179157_102520eBay InternationaleBay ,1,TV series,293842393,First,13 - 17,06:21,Within,A,21,1,00:45,Within
1036,0.1294,0.1294,eBay ,Things.People.Love.,0,Pre-split,23179157,N/A,293825743,VOXUP,eBay International,Germany,eBay ,Online Retailers,20,Bones - Die Knochenjägerin,RETAILERS,,Wednesday,97696287,2025-12-03,21:05:33,Online Retailers,23179157_102520eBay InternationaleBay ,1,TV series,293825743,First,20 - 23,08:06,Within,A,24,1,01:47,Within
1058,0.0947,0.0947,eBay ,Things.People.Love.,0,N/A,23179110,N/A,293832522,VOXUP,eBay International,Germany,eBay ,Online Retailers,20,Bones - Die Knochenjägerin,RETAILERS,,Wednesday,97696291,2025-12-03,23:30:06,Online Retailers,23179110_102520eBay InternationaleBay ,11,TV series,293832522,None,23 - 00,06:08,Within,M,19,11,01:42,Within
584,0.9591,0.9591,eBay ,Marketplatz Nr. 1 für Fahrzeugteile & Zubehör,1925,N/A,23132487,94551881,293619555,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,7,Grip - Das Motormagazin,RETAILERS,,Sunday   ,97679194,2025-11-30,18:15:21,Online Retailers,23132487_03257eBay InternationaleBay ,2,Sport,293619555,Last,17 - 20,00:14,Before,B,2,2,00:07,Before
588,0.7227,0.7227,eBay ,Marketplatz Nr. 1 für Fahrzeugteile & Zubehör,2730,N/A,23132487,94551822,293619568,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,7,Grip - Das Motormagazin,RETAILERS,,Sunday   ,97679195,2025-11-30,18:48:51,Online Retailers,23132487_03257eBay InternationaleBay ,22,Sport,293619568,Last,17 - 20,08:34,Within,Z,22,22,00:57,Within
592,0.8528,0.8528,eBay ,Marketplatz Nr. 1 für Fahrzeugteile & Zubehör,3500,N/A,23132487,94601923,293623295,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,7,Grip - Das Motormagazin,RETAILERS,,Sunday   ,97679196,2025-11-30,19:26:00,Online Retailers,23132487_03257eBay InternationaleBay ,21,Sport,293623295,Last,17 - 20,08:03,Within,Z,21,21,00:57,Within
594,0.8268,0.8268,eBay ,Marketplatz Nr. 1 für Fahrzeugteile & Zubehör,3864,N/A,23132487,94621924,293623309,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,7,Grip - Das Motormagazin,RETAILERS,,Sunday   ,97679197,2025-11-30,19:55:55,Online Retailers,23132487_03257eBay InternationaleBay ,18,Sport,293623309,Last,17 - 20,06:52,Within,Z,18,18,00:17,Within
600,0.8413,0.8413,eBay ,Marketplatz Nr. 1 für Fahrzeugteile & Zubehör,4473,N/A,23132487,01612020,293627314,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,7,Grip - Das Motormagazin,RETAILERS,,Sunday   ,97679198,2025-11-30,20:11:36,Online Retailers,23132487_03257eBay InternationaleBay ,16,Sport,293627314,Last,20 - 23,05:33,Within,Z,16,16,01:30,Within
601,0.9302,0.9302,eBay ,Marketplatz Nr. 1 für Fahrzeugteile & Zubehör,4473,N/A,23132487,94652086,293627323,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,7,Was Frauen wollen,RETAILERS,,Sunday   ,97679199,2025-11-30,20:13:50,Online Retailers,23132487_03257eBay InternationaleBay ,1,Movie,293627323,First,20 - 23,00:14,Before,A,2,1,00:07,Before
657,0.2371,0.2371,eBay ,Things.People.Love.,680,N/A,23179157,01120602,293648547,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,20,Der Trödeltrupp - Das Geld liegt im Keller,RETAILERS,,Monday   ,97684171,2025-12-01,06:53:42,Online Retailers,23179157_102520eBay InternationaleBay ,3,Lifestyle,293648547,None,06 - 09,06:12,Within,C,23,3,01:40,Within
669,0.3368,0.3368,eBay ,Things.People.Love.,570,N/A,23179144,01130703,293652641,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,15,Der Trödeltrupp - Das Geld liegt im Keller,RETAILERS,,Monday   ,97684173,2025-12-01,07:54:18,Online Retailers,23179144_102515eBay InternationaleBay ,17,Lifestyle,293652641,None,06 - 09,05:56,Within,X,19,17,01:37,Within
674,0.4149,0.4149,eBay ,Things.People.Love.,780,N/A,23179144,01170803,293655339,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,15,Der Trödeltrupp - Das Geld liegt im Keller,RETAILERS,,Monday   ,97684174,2025-12-01,08:30:38,Online Retailers,23179144_102515eBay InternationaleBay ,20,Lifestyle,293655339,None,06 - 09,07:09,Within,X,22,20,01:10,Within
681,0.5984,0.5984,eBay ,Things.People.Love.,1080,N/A,23193081,01221005,293661772,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,15,Der Trödeltrupp - Das Geld liegt im Keller,RETAILERS,,Monday   ,97684178,2025-12-01,10:24:23,Online Retailers,23193081_122515eBay InternationaleBay ,2,Lifestyle,293661772,None,09 - 11,06:18,Within,B,22,2,02:33,Within
698,0.7119,0.7119,eBay ,Things.People.Love.,1540,N/A,23179110,01231204,293667053,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,20,Der Trödeltrupp - Das Geld liegt im Keller,RETAILERS,,Monday   ,97684182,2025-12-01,12:21:32,Online Retailers,23179110_102520eBay InternationaleBay ,3,Lifestyle,293667053,None,11 - 13,05:58,Within,C,20,3,01:55,Within
715,0.5731,0.5731,eBay ,Things.People.Love.,1215,N/A,23179144,01241385,293670329,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,15,Armes Deutschland - Stempeln oder abrackern?,RETAILERS,,Monday   ,97684185,2025-12-01,13:49:31,Online Retailers,23179144_102515eBay InternationaleBay ,3,Documentary,293670329,None,13 - 17,07:46,Within,C,21,3,01:48,Within
724,0.6281,0.6281,eBay ,Things.People.Love.,1620,N/A,23179157,01241487,293673162,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,20,Armes Deutschland - Stempeln oder abrackern?,RETAILERS,,Monday   ,97684187,2025-12-01,14:46:51,Online Retailers,23179157_102520eBay InternationaleBay ,3,Documentary,293673162,None,13 - 17,05:43,Within,C,19,3,00:55,Within
732,0.7011,0.7011,eBay ,Things.People.Love.,1620,N/A,23179157,01241582,293676214,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,20,Hartz und herzlich,RETAILERS,,Monday   ,97684188,2025-12-01,15:34:21,Online Retailers,23179157_102520eBay InternationaleBay ,15,Documentary,293676214,None,13 - 17,05:53,Within,M,18,15,02:05,Within
760,1.0299,1.0299,eBay ,Things.People.Love.,2620,N/A,23179110,01331783,293682606,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,20,Hartz Rot Gold,RETAILERS,,Monday   ,97684193,2025-12-01,17:49:55,Online Retailers,23179110_102520eBay InternationaleBay ,18,Lifestyle,293682606,None,17 - 20,06:31,Within,X,20,18,02:08,Within
769,1.194,1.194,eBay ,Things.People.Love.,3520,N/A,23179157,01391805,293685903,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,20,Hartz und herzlich - Tag für Tag Benz-Baracken,RETAILERS,,Monday   ,97684195,2025-12-01,18:56:44,Online Retailers,23179157_102520eBay InternationaleBay ,4,Lifestyle,293685903,None,17 - 20,07:10,Within,M,18,4,02:30,Within
777,0.9793,0.9793,eBay ,Things.People.Love.,4350,N/A,23179144,01491903,293689418,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,15,Berlin - Tag & Nacht,RETAILERS,,Monday   ,97684196,2025-12-01,19:28:15,Online Retailers,23179144_102515eBay InternationaleBay ,13,TV series,293689418,None,17 - 20,07:02,Within,M,22,13,00:52,Within
782,0.9425,0.9425,eBay ,Things.People.Love.,7860,N/A,23179026,01612031,293693263,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,15,Berlin - Tag & Nacht,RETAILERS,,Monday   ,97684198,2025-12-01,20:01:53,Online Retailers,23179026_102515eBay InternationaleBay ,2,TV series,293693263,None,20 - 23,04:02,Within,B,12,2,00:45,Within
789,1.0415,1.0415,eBay ,Things.People.Love.,11205,N/A,23179144,01682132,293697046,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,15,Hartes Deutschland - Leben im Brennpunkt,RETAILERS,,Monday   ,97684200,2025-12-01,21:01:52,Online Retailers,23179144_102515eBay InternationaleBay ,3,Documentary,293697046,None,20 - 23,07:46,Within,C,25,3,02:57,Within
802,0.9208,0.9208,eBay ,Things.People.Love.,14180,N/A,23179157,01672234,293697057,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,20,Hartes Deutschland - Leben im Brennpunkt,RETAILERS,,Monday   ,97684202,2025-12-01,21:59:33,Online Retailers,23179157_102520eBay InternationaleBay ,3,Documentary,293697057,None,20 - 23,05:58,Within,C,17,3,01:45,Within
820,0.5356,0.5356,eBay ,Things.People.Love.,2280,N/A,23179144,01360034,293706438,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,15,Hartes Deutschland - Leben im Brennpunkt,RETAILERS,,Tuesday  ,97690305,2025-12-02,00:01:37,Online Retailers,23179144_102515eBay InternationaleBay ,3,Documentary,293706438,None,00 - 03,05:56,Within,C,19,3,01:20,Within
833,0.2602,0.2602,eBay ,Things.People.Love.,510,N/A,23193081,01120602,293713297,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,15,Der Trödeltrupp - Das Geld liegt im Keller,RETAILERS,,Tuesday  ,97690318,2025-12-02,06:59:03,Online Retailers,23193081_122515eBay InternationaleBay ,18,Lifestyle,293713297,None,06 - 09,06:20,Within,X,20,18,01:17,Within
846,0.6252,0.6252,eBay ,Things.People.Love.,1080,N/A,23179144,01221005,293727583,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,15,Der Trödeltrupp - Das Geld liegt im Keller,RETAILERS,,Tuesday  ,97690325,2025-12-02,10:19:56,Online Retailers,23179144_102515eBay InternationaleBay ,3,Lifestyle,293727583,None,09 - 11,06:20,Within,C,22,3,01:10,Within
