No,RCH,XRP,Brand,Claim,Spend,Split,Add_id,Gfk id,Occ_id,Channel,Company,Country,Product,Category,Duration,EPG name,Industry,Language,Airing day,Ad block id,Airing date,Airing time,Subcategory,ADScanner ID,Ads in block,EPG category,Occurance id,First or last,Airing daypart,Ad block duration,Position in block,Placement in block,Total ads in block,Position in block  ,Ad block net duration,Before / Within content
936,1.7122,1.7122,eBay ,Things.People.Love.,6174,N/A,23179144,01301205,293733705,RTL,eBay International,Germany,eBay ,Online Retailers,15,Punkt 12 - Das RTL-Mittagsjournal,RETAILERS,,Tuesday  ,97691231,2025-12-02,12:30:29,Online Retailers,23179144_102515eBay InternationaleBay ,13,Newscast,293733705,None,11 - 13,06:58,Within,M,17,13,00:45,Within
996,3.7228,3.7228,eBay ,Things.People.Love.,30870,N/A,23179026,01591904,293756812,RTL,eBay International,Germany,eBay ,Online Retailers,15,"Gute Zeiten, schlechte Zeiten",RETAILERS,,Tuesday  ,97691248,2025-12-02,19:41:40,Online Retailers,23179026_102515eBay InternationaleBay ,4,TV series,293756812,None,17 - 20,06:55,Within,M,20,4,00:55,Within
1007,4.4051,4.4051,eBay ,Things.People.Love.,55548,N/A,23179144,01762041,293761070,RTL,eBay International,Germany,eBay ,Online Retailers,15,Bauer sucht Frau,RETAILERS,,Tuesday  ,97691251,2025-12-02,20:46:36,Online Retailers,23179144_102515eBay InternationaleBay ,20,Lifestyle,293761070,None,20 - 23,07:45,Within,Y,21,20,01:27,Within
1033,1.3363,1.3363,eBay ,Things.People.Love.,7542,N/A,23179144,01352348,293771743,RTL,eBay International,Germany,eBay ,Online Retailers,15,Extra: Das RTL-Magazin,RETAILERS,,Tuesday  ,97691258,2025-12-02,23:51:01,Online Retailers,23179144_102515eBay InternationaleBay ,9,Newscast,293771743,None,23 - 00,05:53,Within,M,20,9,01:35,Within
1043,0.5023,0.5023,eBay ,Things.People.Love.,3528,N/A,23179157,01160601,293781671,RTL,eBay International,Germany,eBay ,Online Retailers,20,Punkt 6,RETAILERS,,Wednesday,97696958,2025-12-03,06:30:17,Online Retailers,23179157_102520eBay InternationaleBay ,7,Newscast,293781671,None,06 - 09,07:19,Within,M,25,7,01:25,Within
1065,0.662,0.662,eBay ,Things.People.Love.,3528,N/A,23179110,01160907,293790117,RTL,eBay International,Germany,eBay ,Online Retailers,20,"Gute Zeiten, schlechte Zeiten",RETAILERS,,Wednesday,97696963,2025-12-03,09:16:19,Online Retailers,23179110_102520eBay InternationaleBay ,7,TV series,293790117,None,09 - 11,06:31,Within,M,21,7,01:12,Within
1072,0.6143,0.6143,eBay ,Things.People.Love.,3654,Post-split,23193081,63140908,293844724,RTL,eBay International,Germany,eBay ,Online Retailers,15,Unter uns,RETAILERS,,Wednesday,97696964,2025-12-03,09:44:50,Online Retailers,23193081_122515eBay InternationaleBay ,19,TV series,293844724,Last,09 - 11,07:28,Within,Z,19,19,01:44,Within
1090,1.7649,1.7649,eBay ,Things.People.Love.,7203,N/A,23179157,01301205,293799385,RTL,eBay International,Germany,eBay ,Online Retailers,20,Punkt 12 - Das RTL-Mittagsjournal,RETAILERS,,Wednesday,97696969,2025-12-03,12:31:14,Online Retailers,23179157_102520eBay InternationaleBay ,12,Newscast,293799385,None,11 - 13,07:33,Within,M,19,12,00:50,Within
1151,1.0733,1.0733,eBay ,Things.People.Love.,21336,N/A,23179157,01482159,293824707,RTL,eBay International,Germany,eBay ,Online Retailers,20,Die Stefan Raab Show,RETAILERS,,Wednesday,97696989,2025-12-03,21:17:19,Online Retailers,23179157_102520eBay InternationaleBay ,10,Lifestyle,293824707,None,20 - 23,07:58,Within,M,24,10,01:32,Within
1167,0.8615,0.8615,eBay ,Things.People.Love.,8694,N/A,23179144,01372358,293832168,RTL,eBay International,Germany,eBay ,Online Retailers,15,stern TV,RETAILERS,,Wednesday,97696994,2025-12-03,23:51:32,Online Retailers,23179144_102515eBay InternationaleBay ,10,Newscast,293832168,None,23 - 00,06:29,Within,M,22,10,01:27,Within
673,0.3137,0.3137,eBay ,Things.People.Love.,2856,N/A,23192969,01250909,293658422,VOX,eBay International,Germany,eBay ,Online Retailers,20,CSI: Den Tätern auf der Spur,RETAILERS,,Monday   ,97684220,2025-12-01,09:18:33,Online Retailers,23192969_122520eBay InternationaleBay ,14,TV series,293658422,None,09 - 11,06:11,Within,M,23,14,02:12,Within
676,0.3744,0.3744,eBay ,Things.People.Love.,2448,N/A,23179144,01250900,293657448,VOX,eBay International,Germany,eBay ,Online Retailers,15,CSI: Den Tätern auf der Spur,RETAILERS,,Monday   ,97684221,2025-12-01,09:51:41,Online Retailers,23179144_102515eBay InternationaleBay ,1,TV series,293657448,First,09 - 11,06:16,Within,A,22,1,02:13,Within
767,3.6007,3.6007,eBay ,Things.People.Love.,28566,Pre-split,23179144,58671907,293711286,VOX,eBay International,Germany,eBay ,Online Retailers,15,Das perfekte Dinner,RETAILERS,,Monday   ,97684242,2025-12-01,19:44:24,Online Retailers,23179144_102515eBay InternationaleBay ,1,Lifestyle,293711286,First,17 - 20,10:45,Within,A,30,1,02:17,Within
781,1.3067,1.3067,eBay ,Things.People.Love.,40614,N/A,23179157,01842035,293692880,VOX,eBay International,Germany,eBay ,Online Retailers,20,Lege kommt auf den Geschmack,RETAILERS,,Monday   ,97684246,2025-12-01,20:59:07,Online Retailers,23179157_102520eBay InternationaleBay ,11,Lifestyle,293692880,None,20 - 23,09:55,Within,M,25,11,02:35,Within
787,1.2034,1.2034,eBay ,Things.People.Love.,34812,N/A,23179026,01842136,293696214,VOX,eBay International,Germany,eBay ,Online Retailers,15,Lege kommt auf den Geschmack,RETAILERS,,Monday   ,97684247,2025-12-01,21:28:19,Online Retailers,23179026_102515eBay InternationaleBay ,10,Lifestyle,293696214,None,20 - 23,08:12,Within,M,21,10,02:07,Within
824,0.4589,0.4589,eBay ,Things.People.Love.,7854,Pre-split,23179157,64360033,293706394,VOX,eBay International,Germany,eBay ,Online Retailers,20,Goodbye Deutschland! Die Auswanderer,RETAILERS,,Tuesday  ,97690020,2025-12-02,00:34:37,Online Retailers,23179157_102520eBay InternationaleBay ,1,Lifestyle,293706394,First,00 - 03,11:07,Within,A,29,1,02:04,Within
856,0.3534,0.3534,eBay ,Things.People.Love.,2856,N/A,23179110,01250900,293723419,VOX,eBay International,Germany,eBay ,Online Retailers,20,CSI: Den Tätern auf der Spur,RETAILERS,,Tuesday  ,97690034,2025-12-02,09:47:34,Online Retailers,23179110_102520eBay InternationaleBay ,13,TV series,293723419,None,09 - 11,06:22,Within,M,20,13,01:35,Within
863,0.3896,0.3896,eBay ,Things.People.Love.,2610,N/A,23179144,01261006,293726466,VOX,eBay International,Germany,eBay ,Online Retailers,15,CSI: Den Tätern auf der Spur,RETAILERS,,Tuesday  ,97690036,2025-12-02,10:47:42,Online Retailers,23179144_102515eBay InternationaleBay ,18,TV series,293726466,Last,09 - 11,06:16,Within,Z,18,18,01:25,Within
881,0.4662,0.4662,eBay ,Things.People.Love.,2934,N/A,23179144,01281302,293737307,VOX,eBay International,Germany,eBay ,Online Retailers,15,CSI: Miami,RETAILERS,,Tuesday  ,97690042,2025-12-02,13:50:36,Online Retailers,23179144_102515eBay InternationaleBay ,17,TV series,293737307,None,13 - 17,06:34,Within,M,20,17,01:30,Within
949,0.6678,0.6678,eBay ,Things.People.Love.,9108,Pre-split,23193081,58412347,293780212,VOX,eBay International,Germany,eBay ,Online Retailers,15,Hot oder Schrott - Die Allestester,RETAILERS,,Tuesday  ,97690064,2025-12-02,23:30:43,Online Retailers,23193081_122515eBay InternationaleBay ,1,Lifestyle,293780212,First,23 - 00,08:00,Within,A,20,1,00:32,Within
